N		gflops		error
64		21.3125		2.64243e-05
128		30.8405		8.647e-05
192		31.6542		0.000179322
256		18.4153		0.000294968
320		26.8282		0.000437701
384		31.0502		0.00060109
448		30.9685		0.000788106
512		29.2458		0.000993227
576		28.6711		0.00121863
640		27.4505		0.00147065
704		24.2257		0.00173147
768		23.85		0.00201984
832		25.9194		0.00232441
896		26.0068		0.00264033
960		25.6801		0.00298311
1024		15.5161		0.00334079
1088		24.8921		0.00370942
1152		21.6053		0.00409682
1216		24.4085		0.00449665
1280		19.9539		0.00491388
1344		23.38		0.00534571
1408		22.998		0.0057967
1472		22.1667		0.00626274
1536		11.4757		0.00674243
1600		19.0163		0.00724479
1664		16.2314		0.00775708
1728		15.5642		0.00827089
1792		9.25057		0.00881486
1856		13.7464		0.00936445
1920		12.5288		0.00993761
1984		12.472		0.0105173
2048		5.13943		0.0111192
