N		gflops		error
64		11.275		2.63217e-05
128		15.0387		8.81185e-05
192		35.9375		0.000178275
256		33.4841		0.000294874
320		34.0199		0.000435746
384		32.112		0.000599212
448		35.1259		0.000786785
512		31.4814		0.000995276
576		30.4476		0.00121814
640		28.3807		0.00147388
704		32.3519		0.00173772
768		29.7126		0.00202147
832		32.1689		0.002325
896		29.5389		0.00264039
960		32.9515		0.00297991
1024		29.8955		0.00332831
1088		32.4812		0.00371319
1152		29.9119		0.0040933
1216		31.6255		0.00449584
1280		29.6923		0.00490306
1344		31.7188		0.00534818
1408		29.7086		0.00580463
1472		33.1791		0.00626635
1536		29.6175		0.00674756
1600		32.9827		0.0072509
1664		29.0703		0.00775262
1728		32.8027		0.00828015
1792		28.8388		0.00881128
1856		32.6509		0.009369
1920		28.8705		0.00993416
1984		32.391		0.0105179
2048		29.5281		0.0111134
