N		gflops		error
64		15.5115		0
128		33.1042		0
192		31.8107		0
256		32.1095		0
320		35.0104		0
384		32.1384		0
448		31.7033		0
512		29.6038		0
576		33.5575		0
640		28.3907		0
704		33.1265		0
768		29.6702		0
832		32.2693		0
896		30.5914		0
960		33.7241		0
1024		30.527		0
1088		33.6792		0
1152		29.3924		0
1216		33.6105		0
1280		30.1844		0
1344		32.7111		0
1408		29.5407		0
1472		33.1906		0
1536		29.8189		0
1600		32.8982		0
1664		29.6431		0
1728		32.7395		0
1792		28.7967		0
1856		32.4356		0
1920		29.1683		0
1984		32.3706		0
2048		30.2095		0
