N		gflops		error
64		3.1679		0
128		7.54371		0
192		28.7836		0
256		31.1641		0
320		32.3667		0
384		33.6882		0
448		33.4687		0
512		29.859		0
576		27.9775		0
640		31.7417		0
704		32.74		0
768		33.4283		0
832		33.4826		0
896		33.5869		0
960		33.2963		0
1024		33.5231		0
1088		33.5038		0
1152		31.701		0
1216		30.6875		0
1280		33.5511		0
1344		33.5383		0
1408		33.3117		0
1472		33.3442		0
1536		33.3322		0
1600		33.2033		0
1664		33.3684		0
1728		32.9717		0
1792		33.3046		0
1856		32.8838		0
1920		33.4191		0
1984		33.03		0
2048		33.1699		0
